0.0,Kick,p,x
0.19446712,HH,t,x
0.293151927,HH,t,x
0.407800453,Kick,p,x
0.602993197,HH,t,x
0.847528344,Snare,k,x
1.073469387,HH,t,x
1.17755102,HH,t,x
1.326530612,HH,t,x
1.534693877,Kick,p,x
1.71632653,Kick,p,x
1.951020408,HH,t,x
2.053061224,Kick,p,x
2.168163265,Kick,p,x
2.361179138,HH,t,x
2.555646258,Snare,k,x
2.779138321,HH,t,x
2.883628117,HH,t,x
2.963446712,HH,t,x
3.079546485,HH,t,x
3.197097505,Kick,p,x
3.397369614,Kick,p,x
3.604081632,HH,t,x
3.710204081,HH,t,x
3.846938775,Kick,p,x
4.061224489,HH,t,x
4.281632653,Snare,k,x
4.5,HH,t,x
4.722448979,Kick,p,x
4.893877551,HH,t,x
5.144897959,Kick,p,x
5.313015873,HH,t,x
5.351020408,HH,t,x
5.463265306,HH,t,x
5.585714285,Kick,p,x
5.785714285,Kick,p,x
5.989795918,Snare,k,x
6.195918367,HH,t,x
6.31632653,HH,t,x
6.43877551,Kick,p,x
6.626530612,HH,t,x
