0.0,Kick,p,x
0.185759637,HH,ts,x
0.397641723,Kick,p,x
0.600816326,HH,ts,x
1.056507936,Kick,p,x
1.262585034,HH,ts,x
1.49478458,Kick,p,x
1.663129251,Kick,p,x
1.869206349,HH,ts,x
2.110113378,Snare,tʃ,x
2.56,Kick,p,x
2.719637188,HH,ts,x
2.931519274,Snare,tʃ,x
3.355283446,Kick,p,x
3.581678004,HH,ts,x
3.805170068,Kick,p,x
3.996734693,Kick,p,x
4.237641723,HH,ts,x
4.472743764,Kick,p,x
4.655600907,Kick,p,x
4.847165532,HH,ts,x
5.12,Kick,p,x
5.291247165,HH,ts,x
5.500226757,Snare,tʃ,x
5.98494331,Kick,p,x
6.196825396,HH,ts,x
6.382585034,Snare,tʃ,x
6.82956916,Kick,p,x
