0,Kick,p,u
0.188662131,HH,ts,x
0.435374149,Kick,p,u
0.58340136,HH,ts,x
0.716916099,HH,ts,x
0.873650793,Kick,p,u
1.047800453,HH,ts,x
1.143582766,HH,ts,x
1.30031746,Kick,p,u
1.445442176,HH,ts,x
1.567346938,HH,ts,x
1.724081632,Snare,t,a
2.159002267,Snare,t,a
2.575510204,Snare,t,a
3.436734693,Kick,p,u
3.612244897,HH,ts,x
3.873469387,Snare,t,a
4.318367346,Kick,p,u
4.465306122,HH,ts,x
4.726530612,Snare,t,a
5.183673469,Kick,p,u
5.351020408,HH,ts,x
5.579591836,Snare,t,a
6.004081632,Kick,p,u
6.159183673,HH,ts,x
6.395918367,HH,ts,x
6.644897959,HH,ts,x
