segment_path,start_time,end_time,instrument_label
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0000.wav,1.2654875283446712,1.5154875283446712,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0001.wav,1.7763265306122449,2.026326530612245,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0002.wav,1.9504761904761905,2.2004761904761905,sd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0003.wav,2.4961451247165534,2.7461451247165534,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0004.wav,2.8212244897959184,3.0712244897959184,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0005.wav,3.1695238095238096,3.4195238095238096,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0006.wav,3.297233560090703,3.547233560090703,sd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0007.wav,4.098321995464852,4.348321995464852,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0008.wav,4.655600907029479,4.905600907029479,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0009.wav,4.783310657596372,5.033310657596372,sd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0010.wav,5.38702947845805,5.63702947845805,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0011.wav,5.746938775510204,5.996938775510204,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0012.wav,6.060408163265306,6.310408163265306,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0013.wav,6.188117913832199,6.438117913832199,sd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0014.wav,6.606077097505669,6.856077097505669,sd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0015.wav,6.977596371882086,7.227596371882086,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0016.wav,7.534875283446712,7.784875283446712,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0017.wav,7.650975056689342,7.900975056689342,sd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0018.wav,8.231473922902495,8.481473922902495,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0019.wav,8.579773242630386,8.829773242630386,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0020.wav,8.893242630385487,9.143242630385487,kd
/Users/arul/ML/BEATBOX/projectFiles/code/final_pipeline/audio/sample1/segments/full_segments/segment_0021.wav,9.09061224489796,9.34061224489796,sd
