segment_path,instrument_label,participant_id,dataset,original_wav,onset_time
../segments/AVP_P1_hhc_0000.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,0.000113378582766
../segments/AVP_P1_hhc_0001.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,0.159297052582766
../segments/AVP_P1_hhc_0002.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,0.734240362582766
../segments/AVP_P1_hhc_0003.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,1.14276643958277
../segments/AVP_P1_hhc_0004.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,1.29072562358277
../segments/AVP_P1_hhc_0005.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,1.90562358258277
../segments/AVP_P1_hhc_0006.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,2.33052154158277
../segments/AVP_P1_hhc_0007.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,2.47154195058277
../segments/AVP_P1_hhc_0008.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,3.10555555558277
../segments/AVP_P1_hhc_0009.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,3.47725623558277
../segments/AVP_P1_hhc_0010.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,3.64664399058277
../segments/AVP_P1_hhc_0011.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,4.23215419458277
../segments/AVP_P1_hhc_0012.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,4.66970521558277
../segments/AVP_P1_hhc_0013.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,4.81990929658277
../segments/AVP_P1_hhc_0014.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,5.41689342358277
../segments/AVP_P1_hhc_0015.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,5.79215419458277
../segments/AVP_P1_hhc_0016.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,5.93317460358277
../segments/AVP_P1_hhc_0017.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,6.56643990958277
../segments/AVP_P1_hhc_0018.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,6.93725623558277
../segments/AVP_P1_hhc_0019.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,7.08501133758277
../segments/AVP_P1_hhc_0020.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,7.71419501158277
../segments/AVP_P1_hhc_0021.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,8.07195011358277
../segments/AVP_P1_hhc_0022.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,8.22541950158277
../segments/AVP_P1_hhc_0023.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,8.82174603158277
../segments/AVP_P1_hhc_0024.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,9.18061224458277
../segments/AVP_P1_hhc_0025.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,9.32643990958277
../segments/AVP_P1_hhc_0026.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,9.87399092958277
../segments/AVP_P1_hhc_0027.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,10.2243990925828
../segments/AVP_P1_hhc_0028.wav,hhc,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHclosed_Personal.wav,10.3805215415828
../segments/AVP_P1_hho_0029.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,0.083900226582766
../segments/AVP_P1_hho_0030.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,0.245804988582766
../segments/AVP_P1_hho_0031.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,0.915646258582766
../segments/AVP_P1_hho_0032.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,1.30421768658277
../segments/AVP_P1_hho_0033.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,1.47120181358277
../segments/AVP_P1_hho_0034.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,2.11133786858277
../segments/AVP_P1_hho_0035.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,2.53074829958277
../segments/AVP_P1_hho_0036.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,2.68818594058277
../segments/AVP_P1_hho_0037.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,3.32009070258277
../segments/AVP_P1_hho_0038.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,3.71183673458277
../segments/AVP_P1_hho_0039.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,3.86231292558277
../segments/AVP_P1_hho_0040.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,4.51120181358277
../segments/AVP_P1_hho_0041.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,4.89659863958277
../segments/AVP_P1_hho_0042.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,5.03691609958277
../segments/AVP_P1_hho_0043.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,5.71972789158277
../segments/AVP_P1_hho_0044.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,6.07120181358277
../segments/AVP_P1_hho_0045.wav,hho,P1,AVP,../../AVP-LVT_Dataset/AVP_Dataset/Personal/Participant_1/P1_HHopened_Personal.wav,6.21913832158277
